Species,UTC Date, Local Date, Local Time, Score, Count
Black-capped Chickadee,2024-04-05T23:51:13Z,05-Apr-2024,16:51:13,0.9765,1
Dark-eyed Junco,2024-04-05T23:47:43Z,05-Apr-2024,16:47:43,0.27,1
Dark-eyed Junco,2024-04-05T23:46:26Z,05-Apr-2024,16:46:26,0.6,1
Steller's Jay,2024-04-05T23:42:50Z,05-Apr-2024,16:42:50,0.8784,1
Steller's Jay,2024-04-05T23:39:55Z,05-Apr-2024,16:39:55,0.9529,1
Pine Siskin,2024-04-05T23:37:27Z,05-Apr-2024,16:37:27,0.57,1
Pine Siskin,2024-04-05T23:37:20Z,05-Apr-2024,16:37:20,0.47,1
American Crow,2024-04-05T23:25:52Z,05-Apr-2024,16:25:52,0.8235,1
Dark-eyed Junco,2024-04-05T22:53:41Z,05-Apr-2024,15:53:41,0.28,1
Steller's Jay,2024-04-05T22:52:57Z,05-Apr-2024,15:52:57,0.9647,1
Dark-eyed Junco,2024-04-05T22:52:47Z,05-Apr-2024,15:52:47,0.29,1
Dark-eyed Junco,2024-04-05T22:52:28Z,05-Apr-2024,15:52:28,0.37,1
Bushtit,2024-04-05T22:52:12Z,05-Apr-2024,15:52:12,0.81,1
Dark-eyed Junco,2024-04-05T22:51:19Z,05-Apr-2024,15:51:19,0.7882,1
Black-capped Chickadee,2024-04-05T22:43:50Z,05-Apr-2024,15:43:50,0.8902,1
Black-capped Chickadee,2024-04-05T22:42:27Z,05-Apr-2024,15:42:27,0.8392,3
Black-capped Chickadee,2024-04-05T22:41:17Z,05-Apr-2024,15:41:17,0.8549,1
Black-capped Chickadee,2024-04-05T22:41:11Z,05-Apr-2024,15:41:11,0.4,1
Dark-eyed Junco,2024-04-05T22:40:16Z,05-Apr-2024,15:40:16,0.26,1
House Finch,2024-04-05T22:35:39Z,05-Apr-2024,15:35:39,0.8078,1
American Goldfinch,2024-04-05T22:35:00Z,05-Apr-2024,15:35:00,0.8235,1
Black-capped Chickadee,2024-04-05T22:15:21Z,05-Apr-2024,15:15:21,0.8235,1
Bushtit,2024-04-05T22:14:35Z,05-Apr-2024,15:14:35,0.84,1
Bushtit,2024-04-05T22:14:27Z,05-Apr-2024,15:14:27,0.92,1
Bushtit,2024-04-05T22:14:20Z,05-Apr-2024,15:14:20,0.75,1
Bushtit,2024-04-05T22:14:14Z,05-Apr-2024,15:14:14,0.63,1
Bushtit,2024-04-05T22:14:08Z,05-Apr-2024,15:14:08,0.95,1
Bushtit,2024-04-05T22:14:01Z,05-Apr-2024,15:14:01,0.99,1
Bushtit,2024-04-05T22:13:53Z,05-Apr-2024,15:13:53,0.99,1
Bushtit,2024-04-05T22:13:47Z,05-Apr-2024,15:13:47,0.99,1
Bushtit,2024-04-05T22:13:39Z,05-Apr-2024,15:13:39,0.99,1
Bushtit,2024-04-05T22:13:34Z,05-Apr-2024,15:13:34,0.99,1
Bushtit,2024-04-05T22:13:28Z,05-Apr-2024,15:13:28,0.99,1
Bushtit,2024-04-05T22:13:20Z,05-Apr-2024,15:13:20,0.88,1
Bushtit,2024-04-05T22:13:14Z,05-Apr-2024,15:13:14,0.97,1
Bushtit,2024-04-05T22:13:06Z,05-Apr-2024,15:13:06,0.94,1
Bushtit,2024-04-05T22:12:59Z,05-Apr-2024,15:12:59,0.99,1
Bushtit,2024-04-05T22:12:51Z,05-Apr-2024,15:12:51,0.42,1
Black-capped Chickadee,2024-04-05T22:12:45Z,05-Apr-2024,15:12:45,0.8392,2
Bushtit,2024-04-05T22:08:39Z,05-Apr-2024,15:08:39,0.98,1
Bushtit,2024-04-05T22:08:33Z,05-Apr-2024,15:08:33,0.98,1
Bushtit,2024-04-05T22:08:22Z,05-Apr-2024,15:08:22,0.7,1
Black-capped Chickadee,2024-04-05T22:04:23Z,05-Apr-2024,15:04:23,0.38,1
Black-capped Chickadee,2024-04-05T22:04:12Z,05-Apr-2024,15:04:12,0.9294,1
