Species,Scientific Name,UTC Date,Local Date,Local Time,Score,Count
American Robin,Turdus migratorius,2026-06-28T23:56:14Z,28-Jun-2026,16:56:14,0.9082,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T23:20:33.500000Z,28-Jun-2026,16:20:33,0.6269,1
American Robin,Turdus migratorius,2026-06-28T22:53:56Z,28-Jun-2026,15:53:56,0.8181,1
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T22:53:50Z,28-Jun-2026,15:53:50,0.7883,1
Brown Creeper,Certhia americana,2026-06-28T22:47:57.500000Z,28-Jun-2026,15:47:57,0.916,1
Brown Creeper,Certhia americana,2026-06-28T22:47:39.500000Z,28-Jun-2026,15:47:39,0.9374,2
Brown Creeper,Certhia americana,2026-06-28T22:47:06.500000Z,28-Jun-2026,15:47:06,0.9234,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T22:43:51.500000Z,28-Jun-2026,15:43:51,0.8174,1
Bushtit,Psaltriparus minimus,2026-06-28T22:42:21.500000Z,28-Jun-2026,15:42:21,0.84,1
Bushtit,Psaltriparus minimus,2026-06-28T22:41:20Z,28-Jun-2026,15:41:20,0.9645,2
Bushtit,Psaltriparus minimus,2026-06-28T22:41:15.500000Z,28-Jun-2026,15:41:15,0.9264,3
Bushtit,Psaltriparus minimus,2026-06-28T22:39:29Z,28-Jun-2026,15:39:29,0.9651,2
Brown Creeper,Certhia americana,2026-06-28T22:38:33.500000Z,28-Jun-2026,15:38:33,0.8902,1
Bushtit,Psaltriparus minimus,2026-06-28T22:36:59Z,28-Jun-2026,15:36:59,0.9146,2
Bushtit,Psaltriparus minimus,2026-06-28T22:36:36.500000Z,28-Jun-2026,15:36:36,0.9213,1
Bushtit,Psaltriparus minimus,2026-06-28T22:35:36.500000Z,28-Jun-2026,15:35:36,0.9103,1
Bushtit,Psaltriparus minimus,2026-06-28T22:34:56Z,28-Jun-2026,15:34:56,0.9287,2
American Robin,Turdus migratorius,2026-06-28T22:16:54.500000Z,28-Jun-2026,15:16:54,0.8726,1
American Crow,Corvus brachyrhynchos,2026-06-28T22:15:26Z,28-Jun-2026,15:15:26,0.8048,1
American Crow,Corvus brachyrhynchos,2026-06-28T22:15:12.500000Z,28-Jun-2026,15:15:12,0.7153,2
American Crow,Corvus brachyrhynchos,2026-06-28T22:14:02Z,28-Jun-2026,15:14:02,0.7294,1
American Crow,Corvus brachyrhynchos,2026-06-28T22:13:42.500000Z,28-Jun-2026,15:13:42,0.8534,1
American Crow,Corvus brachyrhynchos,2026-06-28T22:12:03.500000Z,28-Jun-2026,15:12:03,0.8715,2
American Crow,Corvus brachyrhynchos,2026-06-28T22:11:18.500000Z,28-Jun-2026,15:11:18,0.8297,2
American Crow,Corvus brachyrhynchos,2026-06-28T22:11:05Z,28-Jun-2026,15:11:05,0.8841,2
American Crow,Corvus brachyrhynchos,2026-06-28T22:09:21.500000Z,28-Jun-2026,15:09:21,0.8365,2
American Crow,Corvus brachyrhynchos,2026-06-28T22:09:02Z,28-Jun-2026,15:09:02,0.8562,1
American Crow,Corvus brachyrhynchos,2026-06-28T22:08:26Z,28-Jun-2026,15:08:26,0.9049,2
American Robin,Turdus migratorius,2026-06-28T21:28:53Z,28-Jun-2026,14:28:53,0.6567,1
American Robin,Turdus migratorius,2026-06-28T21:20:21.500000Z,28-Jun-2026,14:20:21,0.5333,1
American Robin,Turdus migratorius,2026-06-28T21:14:07Z,28-Jun-2026,14:14:07,0.6449,1
American Robin,Turdus migratorius,2026-06-28T21:00:53.500000Z,28-Jun-2026,14:00:53,0.9232,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T20:58:43Z,28-Jun-2026,13:58:43,0.9598,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T20:58:23.500000Z,28-Jun-2026,13:58:23,0.886,5
Bewick's Wren,Thryomanes bewickii,2026-06-28T20:57:50.500000Z,28-Jun-2026,13:57:50,0.9057,4
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:39:14.500000Z,28-Jun-2026,13:39:14,0.929,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:38:11.500000Z,28-Jun-2026,13:38:11,0.5415,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:22:01Z,28-Jun-2026,13:22:01,0.9041,1
American Crow,Corvus brachyrhynchos,2026-06-28T20:19:11.500000Z,28-Jun-2026,13:19:11,0.5137,1
American Crow,Corvus brachyrhynchos,2026-06-28T20:17:11.500000Z,28-Jun-2026,13:17:11,0.8222,1
American Crow,Corvus brachyrhynchos,2026-06-28T20:13:52Z,28-Jun-2026,13:13:52,0.9118,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:13:44.500000Z,28-Jun-2026,13:13:44,0.9197,1
American Crow,Corvus brachyrhynchos,2026-06-28T20:13:40Z,28-Jun-2026,13:13:40,0.91,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:12:20.500000Z,28-Jun-2026,13:12:20,0.8251,3
American Crow,Corvus brachyrhynchos,2026-06-28T20:10:22Z,28-Jun-2026,13:10:22,0.7561,1
American Crow,Corvus brachyrhynchos,2026-06-28T20:09:17.500000Z,28-Jun-2026,13:09:17,0.9301,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:09:04Z,28-Jun-2026,13:09:04,0.5143,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:07:14.500000Z,28-Jun-2026,13:07:14,0.8206,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T20:03:56.500000Z,28-Jun-2026,13:03:56,0.9474,4
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:39:59.500000Z,28-Jun-2026,12:39:59,0.9686,1
Dark-eyed Junco,Junco hyemalis,2026-06-28T19:32:59.500000Z,28-Jun-2026,12:32:59,0.818,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:13:30.500000Z,28-Jun-2026,12:13:30,0.964,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:13:11Z,28-Jun-2026,12:13:11,0.9358,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:11:36.500000Z,28-Jun-2026,12:11:36,0.7568,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:05:18.500000Z,28-Jun-2026,12:05:18,0.9015,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:05:12.500000Z,28-Jun-2026,12:05:12,0.9702,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:04:38Z,28-Jun-2026,12:04:38,0.9164,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T19:04:15.500000Z,28-Jun-2026,12:04:15,0.9654,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T18:59:20Z,28-Jun-2026,11:59:20,0.9508,4
Black-capped Chickadee,Poecile atricapillus,2026-06-28T18:59:08Z,28-Jun-2026,11:59:08,0.9787,2
Black-capped Chickadee,Poecile atricapillus,2026-06-28T18:56:53Z,28-Jun-2026,11:56:53,0.9165,1
American Robin,Turdus migratorius,2026-06-28T18:42:42.500000Z,28-Jun-2026,11:42:42,0.5622,1
American Robin,Turdus migratorius,2026-06-28T18:34:06.500000Z,28-Jun-2026,11:34:06,0.7195,1
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T18:28:54.500000Z,28-Jun-2026,11:28:54,0.9435,1
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T18:28:08Z,28-Jun-2026,11:28:08,0.9405,1
Bushtit,Psaltriparus minimus,2026-06-28T18:27:48.500000Z,28-Jun-2026,11:27:48,0.9014,1
Bushtit,Psaltriparus minimus,2026-06-28T18:27:05Z,28-Jun-2026,11:27:05,0.9304,3
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T18:26:50Z,28-Jun-2026,11:26:50,0.9355,2
Bewick's Wren,Thryomanes bewickii,2026-06-28T18:01:37Z,28-Jun-2026,11:01:37,0.6995,3
American Crow,Corvus brachyrhynchos,2026-06-28T17:57:05.500000Z,28-Jun-2026,10:57:05,0.6538,1
Bushtit,Psaltriparus minimus,2026-06-28T17:55:23.500000Z,28-Jun-2026,10:55:23,0.5241,1
Bushtit,Psaltriparus minimus,2026-06-28T17:54:28Z,28-Jun-2026,10:54:28,0.657,1
Bushtit,Psaltriparus minimus,2026-06-28T17:53:20.500000Z,28-Jun-2026,10:53:20,0.8948,3
Bushtit,Psaltriparus minimus,2026-06-28T17:50:43Z,28-Jun-2026,10:50:43,0.9275,3
Bushtit,Psaltriparus minimus,2026-06-28T17:48:29.500000Z,28-Jun-2026,10:48:29,0.9508,2
Bushtit,Psaltriparus minimus,2026-06-28T17:47:53.500000Z,28-Jun-2026,10:47:53,0.9163,4
Bushtit,Psaltriparus minimus,2026-06-28T17:47:20.500000Z,28-Jun-2026,10:47:20,0.9484,2
Bushtit,Psaltriparus minimus,2026-06-28T17:47:02.500000Z,28-Jun-2026,10:47:02,0.9618,1
Bushtit,Psaltriparus minimus,2026-06-28T17:45:56.500000Z,28-Jun-2026,10:45:56,0.918,4
Steller's Jay,Cyanocitta stelleri,2026-06-28T17:21:07Z,28-Jun-2026,10:21:07,0.9143,1
Steller's Jay,Cyanocitta stelleri,2026-06-28T17:15:07Z,28-Jun-2026,10:15:07,0.8797,1
American Robin,Turdus migratorius,2026-06-28T17:14:58Z,28-Jun-2026,10:14:58,0.8314,1
American Robin,Turdus migratorius,2026-06-28T17:06:41.500000Z,28-Jun-2026,10:06:41,0.9281,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:57:32.500000Z,28-Jun-2026,09:57:32,0.6755,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:57:02.500000Z,28-Jun-2026,09:57:02,0.9631,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:56:37Z,28-Jun-2026,09:56:37,0.8724,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:58Z,28-Jun-2026,09:55:58,0.9307,4
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:41.500000Z,28-Jun-2026,09:55:41,0.9592,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:55:11.500000Z,28-Jun-2026,09:55:11,0.9486,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:54:28Z,28-Jun-2026,09:54:28,0.949,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:54:05.500000Z,28-Jun-2026,09:54:05,0.946,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:53:37Z,28-Jun-2026,09:53:37,0.8188,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:53:08.500000Z,28-Jun-2026,09:53:08,0.7193,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:52:34Z,28-Jun-2026,09:52:34,0.6744,1
Ring-necked Pheasant,Phasianus colchicus,2026-06-28T16:50:14.500000Z,28-Jun-2026,09:50:14,0.8837,1
American Crow,Corvus brachyrhynchos,2026-06-28T16:48:38.500000Z,28-Jun-2026,09:48:38,0.6336,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:47:02.500000Z,28-Jun-2026,09:47:02,0.9504,2
American Crow,Corvus brachyrhynchos,2026-06-28T16:46:32.500000Z,28-Jun-2026,09:46:32,0.6542,1
American Robin,Turdus migratorius,2026-06-28T16:37:47.500000Z,28-Jun-2026,09:37:47,0.6347,1
American Robin,Turdus migratorius,2026-06-28T16:36:50.500000Z,28-Jun-2026,09:36:50,0.8958,3
American Robin,Turdus migratorius,2026-06-28T16:35:13Z,28-Jun-2026,09:35:13,0.7712,1
American Robin,Turdus migratorius,2026-06-28T16:34:14.500000Z,28-Jun-2026,09:34:14,0.9299,3
American Crow,Corvus brachyrhynchos,2026-06-28T16:33:55Z,28-Jun-2026,09:33:55,0.9436,1
European Starling,Sturnus vulgaris,2026-06-28T16:32:32.500000Z,28-Jun-2026,09:32:32,0.5229,1
American Robin,Turdus migratorius,2026-06-28T16:32:20.500000Z,28-Jun-2026,09:32:20,0.8358,2
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T16:19:14Z,28-Jun-2026,09:19:14,0.9133,1
American Robin,Turdus migratorius,2026-06-28T16:13:06.500000Z,28-Jun-2026,09:13:06,0.6539,1
American Robin,Turdus migratorius,2026-06-28T16:11:48.500000Z,28-Jun-2026,09:11:48,0.57,1
American Robin,Turdus migratorius,2026-06-28T16:10:03.500000Z,28-Jun-2026,09:10:03,0.8783,2
American Robin,Turdus migratorius,2026-06-28T16:03:27.500000Z,28-Jun-2026,09:03:27,0.8872,2
American Robin,Turdus migratorius,2026-06-28T16:03:14Z,28-Jun-2026,09:03:14,0.9427,3
American Robin,Turdus migratorius,2026-06-28T15:59:27.500000Z,28-Jun-2026,08:59:27,0.671,1
American Robin,Turdus migratorius,2026-06-28T15:58:48.500000Z,28-Jun-2026,08:58:48,0.9251,2
American Robin,Turdus migratorius,2026-06-28T15:58:42.500000Z,28-Jun-2026,08:58:42,0.9843,2
American Robin,Turdus migratorius,2026-06-28T15:57:14Z,28-Jun-2026,08:57:14,0.8427,2
American Crow,Corvus brachyrhynchos,2026-06-28T15:57:03.500000Z,28-Jun-2026,08:57:03,0.7695,1
American Robin,Turdus migratorius,2026-06-28T15:55:06.500000Z,28-Jun-2026,08:55:06,0.9966,3
American Robin,Turdus migratorius,2026-06-28T15:53:06.500000Z,28-Jun-2026,08:53:06,0.6438,2
Northern Flicker,Colaptes auratus,2026-06-28T15:46:26Z,28-Jun-2026,08:46:26,0.865,1
American Robin,Turdus migratorius,2026-06-28T15:44:26Z,28-Jun-2026,08:44:26,0.9798,3
American Robin,Turdus migratorius,2026-06-28T15:42:56Z,28-Jun-2026,08:42:56,0.886,1
American Robin,Turdus migratorius,2026-06-28T15:40:54.500000Z,28-Jun-2026,08:40:54,0.9214,2
Steller's Jay,Cyanocitta stelleri,2026-06-28T15:38:06.500000Z,28-Jun-2026,08:38:06,0.9114,1
American Robin,Turdus migratorius,2026-06-28T15:28:32Z,28-Jun-2026,08:28:32,0.9537,4
American Robin,Turdus migratorius,2026-06-28T15:26:24.500000Z,28-Jun-2026,08:26:24,0.9572,3
American Robin,Turdus migratorius,2026-06-28T15:26:05Z,28-Jun-2026,08:26:05,0.9657,4
American Robin,Turdus migratorius,2026-06-28T15:25:45.500000Z,28-Jun-2026,08:25:45,0.9708,5
American Robin,Turdus migratorius,2026-06-28T15:25:08Z,28-Jun-2026,08:25:08,0.8467,4
American Robin,Turdus migratorius,2026-06-28T15:24:27.500000Z,28-Jun-2026,08:24:27,0.8436,4
American Crow,Corvus brachyrhynchos,2026-06-28T15:23:53Z,28-Jun-2026,08:23:53,0.5121,1
American Crow,Corvus brachyrhynchos,2026-06-28T15:21:57.500000Z,28-Jun-2026,08:21:57,0.9826,1
Evening Grosbeak,Coccothraustes vespertinus,2026-06-28T15:19:54.500000Z,28-Jun-2026,08:19:54,0.9481,2
American Crow,Corvus brachyrhynchos,2026-06-28T15:18:22Z,28-Jun-2026,08:18:22,0.5257,1
Cedar Waxwing,Bombycilla cedrorum,2026-06-28T15:11:40Z,28-Jun-2026,08:11:40,0.6622,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T15:08:20.500000Z,28-Jun-2026,08:08:20,0.6353,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T15:07:43Z,28-Jun-2026,08:07:43,0.7246,1
House Finch,Haemorhous mexicanus,2026-06-28T14:57:26.500000Z,28-Jun-2026,07:57:26,0.7151,2
House Finch,Haemorhous mexicanus,2026-06-28T14:57:14.500000Z,28-Jun-2026,07:57:14,0.927,1
Purple Martin,Progne subis,2026-06-28T14:50:17.500000Z,28-Jun-2026,07:50:17,0.9002,1
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T14:48:25Z,28-Jun-2026,07:48:25,0.7048,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:46:32.500000Z,28-Jun-2026,07:46:32,0.9051,3
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:46:14.500000Z,28-Jun-2026,07:46:14,0.906,1
Bewick's Wren,Thryomanes bewickii,2026-06-28T14:46:11.500000Z,28-Jun-2026,07:46:11,0.9375,1
Anna's Hummingbird,Calypte anna,2026-06-28T14:45:41.500000Z,28-Jun-2026,07:45:41,0.8378,1
Black-capped Chickadee,Poecile atricapillus,2026-06-28T14:45:25Z,28-Jun-2026,07:45:25,0.9366,2
American Robin,Turdus migratorius,2026-06-28T14:44:11.500000Z,28-Jun-2026,07:44:11,0.6886,1
American Robin,Turdus migratorius,2026-06-28T14:41:26.500000Z,28-Jun-2026,07:41:26,0.5128,1
American Robin,Turdus migratorius,2026-06-28T14:41:10Z,28-Jun-2026,07:41:10,0.9194,4
American Robin,Turdus migratorius,2026-06-28T14:33:07Z,28-Jun-2026,07:33:07,0.6619,1
American Robin,Turdus migratorius,2026-06-28T14:32:40Z,28-Jun-2026,07:32:40,0.9085,4
American Robin,Turdus migratorius,2026-06-28T14:29:14.500000Z,28-Jun-2026,07:29:14,0.5032,1
American Robin,Turdus migratorius,2026-06-28T14:28:23.500000Z,28-Jun-2026,07:28:23,0.9089,2
American Robin,Turdus migratorius,2026-06-28T14:27:58Z,28-Jun-2026,07:27:58,0.5959,1
American Robin,Turdus migratorius,2026-06-28T14:27:32.500000Z,28-Jun-2026,07:27:32,0.765,2
American Robin,Turdus migratorius,2026-06-28T14:26:40Z,28-Jun-2026,07:26:40,0.666,1
American Robin,Turdus migratorius,2026-06-28T14:18:59Z,28-Jun-2026,07:18:59,0.8933,2
American Robin,Turdus migratorius,2026-06-28T14:18:15.500000Z,28-Jun-2026,07:18:15,0.8692,2
Red-breasted Nuthatch,Sitta canadensis,2026-06-28T14:14:27.500000Z,28-Jun-2026,07:14:27,0.96,4
