Species,UTC Date, Local Date, Local Time, Score, Count
White-breasted Nuthatch,2024-03-08T21:16:44Z,08-Mar-2024,16:16:44,0.87,1
White-breasted Nuthatch,2024-03-08T21:01:14Z,08-Mar-2024,16:01:14,0.8,1
White-breasted Nuthatch,2024-03-08T21:00:53Z,08-Mar-2024,16:00:53,0.65,1
Black-capped Chickadee,2024-03-08T20:49:44Z,08-Mar-2024,15:49:44,0.8902,1
Black-capped Chickadee,2024-03-08T20:49:41Z,08-Mar-2024,15:49:41,0.73,1
Black-capped Chickadee,2024-03-08T20:49:29Z,08-Mar-2024,15:49:29,0.4,1
Eastern Bluebird,2024-03-08T20:34:50Z,08-Mar-2024,15:34:50,0.78,1
White-breasted Nuthatch,2024-03-08T20:15:56Z,08-Mar-2024,15:15:56,0.69,1
American Crow,2024-03-08T20:00:05Z,08-Mar-2024,15:00:05,0.902,1
American Crow,2024-03-08T19:58:08Z,08-Mar-2024,14:58:08,0.902,1
White-breasted Nuthatch,2024-03-08T19:56:02Z,08-Mar-2024,14:56:02,0.98,1
White-breasted Nuthatch,2024-03-08T19:49:46Z,08-Mar-2024,14:49:46,0.69,1
White-breasted Nuthatch,2024-03-08T19:49:34Z,08-Mar-2024,14:49:34,0.87,1
White-breasted Nuthatch,2024-03-08T19:49:27Z,08-Mar-2024,14:49:27,0.87,1
White-breasted Nuthatch,2024-03-08T19:49:20Z,08-Mar-2024,14:49:20,0.66,1
White-breasted Nuthatch,2024-03-08T19:49:08Z,08-Mar-2024,14:49:08,0.73,1
American Crow,2024-03-08T19:25:17Z,08-Mar-2024,14:25:17,0.9294,1
American Crow,2024-03-08T19:18:32Z,08-Mar-2024,14:18:32,0.9843,1
American Crow,2024-03-08T18:35:56Z,08-Mar-2024,13:35:56,0.8392,3
American Crow,2024-03-08T18:34:20Z,08-Mar-2024,13:34:20,0.61,1
American Crow,2024-03-08T18:33:56Z,08-Mar-2024,13:33:56,0.8235,2
American Crow,2024-03-08T18:32:12Z,08-Mar-2024,13:32:12,0.9333,1
